,lat,lon,radius,region,num_results,checked_this_month
295,41.42407,-123.52222,14.7,Lower 48,0,False
296,41.3042,-123.4741,14.7,Lower 48,0,False
297,41.18432,-123.42614,14.7,Lower 48,0,False
298,41.06444,-123.37835,14.7,Lower 48,0,False
299,40.94456,-123.33071,14.7,Lower 48,0,False
300,40.82467,-123.28324,14.7,Lower 48,0,False
301,40.70477,-123.23593,14.7,Lower 48,0,False
302,40.58487,-123.18878,14.7,Lower 48,0,False
303,40.46495,-123.14178,14.7,Lower 48,0,False
304,40.34503,-123.09495,14.7,Lower 48,0,False
305,40.2251,-123.04827,14.7,Lower 48,0,False
306,40.10516,-123.00175,14.7,Lower 48,0,False
307,39.98521,-122.95538,14.7,Lower 48,0,False
308,39.86525,-122.90917,14.7,Lower 48,0,False
309,39.74528,-122.86311,14.7,Lower 48,0,False
310,39.6253,-122.81721,14.7,Lower 48,0,False
311,39.50531,-122.77145,14.7,Lower 48,0,False
312,39.3853,-122.72585,14.7,Lower 48,0,False
313,39.26528,-122.6804,14.7,Lower 48,0,False
314,39.14525,-122.6351,14.7,Lower 48,0,False
315,39.02521,-122.58995,14.7,Lower 48,0,False
316,38.90515,-122.54495,14.7,Lower 48,0,False
317,38.78507,-122.5001,14.7,Lower 48,0,False
318,38.66499,-122.45539,14.7,Lower 48,0,False
319,38.54488,-122.41083,14.7,Lower 48,0,False
320,38.42477,-122.36642,14.7,Lower 48,0,False
321,38.30463,-122.32215,14.7,Lower 48,0,False
322,38.18448,-122.27803,14.7,Lower 48,0,False
323,38.06431,-122.23405,14.7,Lower 48,0,False
324,37.94412,-122.19021,14.7,Lower 48,0,False
325,37.82392,-122.14652,14.7,Lower 48,0,False
326,37.70369,-122.10297,14.7,Lower 48,0,False
327,37.58345,-122.05956,14.7,Lower 48,0,False
328,37.46319,-122.01629,14.7,Lower 48,0,False
329,37.34291,-121.97316,14.7,Lower 48,0,False
330,37.22261,-121.93017,14.7,Lower 48,0,False
331,37.10229,-121.88731,14.7,Lower 48,0,False
332,36.98194,-121.8446,14.7,Lower 48,0,False
333,36.86158,-121.80202,14.7,Lower 48,0,False
334,36.74119,-121.75958,14.7,Lower 48,0,False
335,36.62078,-121.71728,14.7,Lower 48,0,False
336,36.50035,-121.67511,14.7,Lower 48,0,False
337,36.37989,-121.63307,14.7,Lower 48,0,False
338,36.25941,-121.59117,14.7,Lower 48,0,False
339,36.13891,-121.5494,14.7,Lower 48,0,False
340,36.01838,-121.50776,14.7,Lower 48,0,False
341,35.89783,-121.46626,14.7,Lower 48,0,False
342,35.77725,-121.42489,14.7,Lower 48,0,False
343,43.55348,-124.24755,14.7,Lower 48,0,False
344,43.43354,-124.19667,14.7,Lower 48,0,False
345,43.31361,-124.14596,14.7,Lower 48,0,False
346,43.19369,-124.09543,14.7,Lower 48,0,False
347,43.07377,-124.04508,14.7,Lower 48,0,False
